"id","institutionCode","collectionCode","ownerInstitutionCode","basisOfRecord","occurrenceID","catalogNumber","otherCatalogNumbers","kingdom","phylum","class","order","family","scientificName","scientificNameAuthorship","genus","specificEpithet","taxonRank","infraspecificEpithet","identifiedBy","dateIdentified","identificationReferences","identificationRemarks","taxonRemarks","identificationQualifier","typeStatus","recordedBy","recordedByID","associatedCollectors","recordNumber","eventDate","year","month","day","startDayOfYear","endDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","substrate","verbatimAttributes","fieldNumber","informationWithheld","dataGeneralizations","dynamicProperties","associatedTaxa","reproductiveCondition","establishmentMeans","cultivationStatus","lifeStage","sex","individualCount","samplingProtocol","samplingEffort","preparations","country","stateProvince","county","municipality","locality","locationRemarks","localitySecurity","localitySecurityReason","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","verbatimCoordinates","georeferencedBy","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","verbatimElevation","disposition","language","recordEnteredBy","modified","sourcePrimaryKey","collId","recordId","references"
672196,"ASU","Plants","","PreservedSpecimen","ff634fe4-3e5b-4533-9220-76360330776e","","200919","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis crassifolia","Benth.","Physalis","crassifolia","","","","","","","","","","Charlotte M. Christy",NA,"","1230","1993-03-06",1993,3,6,65,NA,"","","","","flowers yellow","","",NA,"flowers yellow","Sonoran Desert Scrub","flowers","",0,"",NA,NA,NA,NA,"","USA","ARIZONA","Maricopa","","Gila Bend Mountains; Hills ca. 0.5 mi south of west end of Yellow Medicine Butte","",0,NA,33.4872,-112.254,"",NA,"","","","GEOLocate_032105; High precision","not reviewed","",366,NA,NA,NA,NA,"1200ft","","","","2015-02-15 17:41:14","39853",1,"urn:uuid:ff634fe4-3e5b-4533-9220-76360330776e","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=672196"
672198,"ASU","Plants","","PreservedSpecimen","f504b080-a3ec-4570-ad9c-74bc3231f288","","200915","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis crassifolia","Benth.","Physalis","crassifolia","","","","","","","","","","Charlotte M. Christy",NA,"","1478","1993-05-07",1993,5,7,127,NA,"","","","","flowers yellow","","",NA,"flowers yellow","Larrea, Encelia","flowers","",0,"",NA,NA,NA,NA,"","USA","ARIZONA","Mohave County","","Black Mountains; ca. 2 mi south & 0.5 mi east Oatman; ca. N-facing slopes, rocky to scree","",0,NA,35.000614,-114.393966,"",1000,"","","","GEOLocate_032105; High precision","not reviewed","",762,NA,NA,NA,NA,"2500ft","","","","2015-07-13 14:23:47","39855",1,"urn:uuid:f504b080-a3ec-4570-ad9c-74bc3231f288","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=672198"
705355,"ASU","Plants","","PreservedSpecimen","a61ef978-4517-49c3-9d2e-631a8166fe7b","","221760","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis crassifolia","Benth.","Physalis","crassifolia","","","","","","","","","","Marc A. Baker",NA,"Jim Tress","8061","1990-09-18",1990,9,18,261,NA,"","","Dry wash","","","","",NA,"","Acacia greggii, Cercidium microphyllum, Ambrosia ambrosioides, Baccharis sarothrodes...","flowers & fruit","",0,"",NA,NA,NA,NA,"","USA","Arizona","Pinal County","","Granite Mountain","",0,NA,33.1555,-111.056,"",700,"TRS: T3S R13E S19","","","TRS data - 16 Nov 05","","",707,NA,NA,NA,NA,"2320ft","","","Roisan","2015-01-06 14:31:47","73670",1,"urn:uuid:a61ef978-4517-49c3-9d2e-631a8166fe7b","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=705355"
705356,"ASU","Plants","","PreservedSpecimen","6be0b223-d3e8-4caa-af35-acc5ba2cb42a","","129912","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis crassifolia","Benth.","Physalis","crassifolia","","","Mahinda Martinez, 1993","","","","","","","M. Butterwick",NA,"T. F. Daniel","2664","1983-03-12",1983,3,12,71,NA,"","","Granitic hills and flats","","Perennial herb; corolla yellowish; infrequent","","",NA,"Perennial herb; corolla yellowish; infrequent","Carnegiea, Opuntia, Fouquieria, Ambrosia, Hyptis, Encelia","flowers & fruit","",0,"",NA,NA,NA,NA,"","USA","Arizona","Pima County","","Cabeza Prieta Game Range; along El Camino Diablo; 7.6 miles east of Papago Well; granitic hills and flats just south of Sheep Mountains at north end of Agua Dulce Mountains","",0,NA,32.02523,-113.2363,"",10000,"","Landrum","","georef batch tool 2012-11-09","reviewed - high confidence","",305,457,NA,NA,NA,"1000-1500ft","","","Roisan","2015-01-06 14:31:47","73671",1,"urn:uuid:6be0b223-d3e8-4caa-af35-acc5ba2cb42a","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=705356"
705360,"ASU","Plants","","PreservedSpecimen","cfec9c4d-4799-4305-b702-f2c732db6a19","","163430","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis crassifolia","Benth.","Physalis","crassifolia","","","Mahinda Martinez, 1993","","","","","","","Harry Tate",NA,"","1002","1967-06-15",1967,6,15,166,NA,"","","","","","","",NA,"","","flowers","",0,"",NA,NA,NA,NA,"","USA","Arizona","Maricopa","","McDowell Mountains; 12.8 miles east of Scottsdale Road on Shea Boulevard","",0,NA,33.686,-111.739,"",NA,"","","","est. from locality data","","",NA,NA,NA,NA,NA,"","","","Roisan","2015-02-15 17:41:14","73675",1,"urn:uuid:cfec9c4d-4799-4305-b702-f2c732db6a19","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=705360"
705363,"ASU","Plants","","PreservedSpecimen","2a683e9d-481f-4ed3-a8e7-64951f6cf18f","","85682","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis crassifolia","Benth.","Physalis","crassifolia","","","Mahinda Martinez, 1993","","","","","","","E. L. Smith",NA,"","S-108","1976-02-26",1976,2,26,57,NA,"","","","","","","",NA,"","","flowers","",0,"",NA,NA,NA,NA,"","USA","Arizona","Maricopa","","Sierra Estrella Mountains; 0.6 miles southwest of Butterfly Mountain","",0,NA,33.229,-112.203,"",700,"TRS: T2S R1E S26","","","TRS data - 16 Nov 05","","",732,NA,NA,NA,NA,"2400ft","","","Roisan","2015-02-15 17:41:14","73678",1,"urn:uuid:2a683e9d-481f-4ed3-a8e7-64951f6cf18f","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=705363"
705382,"ASU","Plants","","PreservedSpecimen","82d18da3-338e-4561-881b-dd280d5d1a10","","24703","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis crassifolia","Benth.","Physalis","crassifolia","","","Mahinda Martinez, 1993","","","","","","","David J. Keil",NA,"","3172","1968-03-30",1968,3,30,90,NA,"","","Steep, rocky hillsides around small seeping stream","","","","",NA,"","","flowers & fruit","",0,"",NA,NA,NA,NA,"","USA","Arizona","Maricopa","","Around old quarry site; 3.1 miles WNW of Canal Service Road-Greenway Road junction; White Tank Mountains Regional Park","",0,NA,33.5965,-112.557,"",NA,"","","","est. from locality data","","",488,549,NA,NA,NA,"1600-1800ft","","","Roisan","2015-02-15 17:41:14","73697",1,"urn:uuid:82d18da3-338e-4561-881b-dd280d5d1a10","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=705382"
705458,"ASU","Plants","","PreservedSpecimen","e9cf6a4e-36cc-4078-b53f-672e8d27f4e3","","74322","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis crassifolia","Benth.","Physalis","crassifolia","","","Mahinda Martinez, 1993","","","","","","","David J. Keil",NA,"","793","1966-11-25",1966,11,25,329,NA,"","","Cercidium-Franseria desert","","","","",NA,"","Cercidium, Franseria","flowers","",0,"",NA,NA,NA,NA,"","USA","Arizona","Maricopa","","Usery Mountain Regional Park","",0,NA,33.4992,-111.641,"",NA,"","","","GEOLocate_032105; Low precision","not reviewed","",NA,NA,NA,NA,NA,"","","","","2015-02-15 17:41:14","73774",1,"urn:uuid:e9cf6a4e-36cc-4078-b53f-672e8d27f4e3","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=705458"
705459,"ASU","Plants","","PreservedSpecimen","d2ebcc37-4b21-49d5-8794-266a451b0c47","","74329","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis crassifolia","Benth.","Physalis","crassifolia","","","Mahinda Martinez, 1993","","","","","","","D. J. Pinkava",NA,"","2067","1965-04-16",1965,4,16,106,NA,"","","Desert","","","","",NA,"","","flowers & fruit","",0,"",NA,NA,NA,NA,"","USA","Arizona","Yuma County","","Palm Canyon","",0,NA,33.3594,-114.106,"",NA,"","","","GEOLocate_032105; Low precision","not reviewed","",NA,NA,NA,NA,NA,"","","","Roisan","2015-01-06 14:31:47","73775",1,"urn:uuid:d2ebcc37-4b21-49d5-8794-266a451b0c47","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=705459"
705464,"ASU","Plants","","PreservedSpecimen","89189426-a0d8-4336-8c00-a457095daea8","","86148","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis crassifolia","Benth.","Physalis","crassifolia","","","Mahinda Martinez, 1993","","","","","","","Elinor Lehto",NA,"T. Reeves","L-20058","1976-05-19",1976,5,19,140,NA,"","","Dry wash","","","","",NA,"","","flowers","",0,"",NA,NA,NA,NA,"","USA","Arizona","Yuma County","","Kofa Mountains; mouth of Burro Canyon","",0,NA,33.33,-113.953,"",NA,"","","","GEOLocate_032105; Low precision","not reviewed","",NA,NA,NA,NA,NA,"","","","Roisan","2015-01-06 14:31:47","73780",1,"urn:uuid:89189426-a0d8-4336-8c00-a457095daea8","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=705464"
