"decimalLatitude","decimalLongitude"
33.4872,-112.254
35.000614,-114.393966
33.1555,-111.056
32.02523,-113.2363
33.686,-111.739
33.229,-112.203
33.5965,-112.557
33.4992,-111.641
33.3594,-114.106
33.33,-113.953
33.0209,-113.932
33.1411,-110.988
33.455203,-113.385506
30.458552,-116.027639
27.866964,-110.624406
30.888933,-108.192416
26.726858,-111.906978
27.11667,-109.0333
29.222124,-114.146196
24.715044,-112.097257
27.650612,-113.390372
26.890594,-111.981083
31.77,-113.49
31.91667,-113.35
27.66667,-112.9833
27.865417,-109.737725
29.79583,-111.3
30.00082,-111.024707
32.358791,-117.048203
26.54861,-109.2792
26.78167,-109.295
31.336319,-115.565826
33.5965,-112.557
33.4992,-111.641
33.6457,-112.928
33.6457,-112.928
33.69125,-113.0936
33.7701,-113.118
33.6828,-113.054
33.26957,-113.11396
33.26957,-113.1136
33.25,-112.25
33.366915,-113.297372
32.54,-112.88
33.5877,-113.153
32.557504,-112.881652
33.54341,-111.95642
33.56052,-112.5563
33.29583,-112.328
32.6583,-112.8
33.340696,-112.37777
33.56629,-112.50186
33.296064,-112.327702
34.8967,-114.308
34.605016,-113.542245
35.731641,-114.385077
35.827155,-113.653258
36.950551,-113.799164
35.181275,-114.567332
36.03568,-114.32227
36.98092,-113.67228
36.214746,-113.858266
36.01756,-114.44527
35.8703,-114.659
36.447067,-113.971747
34.291933,-113.667959
36.325157,-113.973255
34.535442,-113.464969
36.93266,-113.82643
35.99729,-114.71924
32.3703,-112.988
36.0556,-112.139
34.1167,-112.983
34.352831,-113.211909
33.484303,-113.426181
33.2248,-114.207
33.2102,-114.207
33.283,-113.932
33.7892,-113.668
33.442104,-113.396128
33.4417,-113.359
33.283,-114.2074
33.6861,-113.606
33.4587,-113.378
33.77233,-113.334
32.371,-114.118
33.7454,-113.443
34.26,-114.15
33.2102,-114.2074
33.694,-113.702
33.1957,-114.19
33.33,-113.953
33.765,-113.557
33.3558,-114.104
32.802,-114.356
33.35944,-114.10556
33.1374,-114.1041
