"id","institutionCode","collectionCode","ownerInstitutionCode","basisOfRecord","occurrenceID","catalogNumber","otherCatalogNumbers","kingdom","phylum","class","order","family","scientificName","scientificNameAuthorship","genus","specificEpithet","taxonRank","infraspecificEpithet","identifiedBy","dateIdentified","identificationReferences","identificationRemarks","taxonRemarks","identificationQualifier","typeStatus","recordedBy","recordedByID","associatedCollectors","recordNumber","eventDate","year","month","day","startDayOfYear","endDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","substrate","verbatimAttributes","fieldNumber","informationWithheld","dataGeneralizations","dynamicProperties","associatedTaxa","reproductiveCondition","establishmentMeans","cultivationStatus","lifeStage","sex","individualCount","samplingProtocol","samplingEffort","preparations","country","stateProvince","county","municipality","locality","locationRemarks","localitySecurity","localitySecurityReason","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","verbatimCoordinates","georeferencedBy","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","verbatimElevation","disposition","language","recordEnteredBy","modified","sourcePrimaryKey","collId","recordId","references"
3197362,"ASU","Plants","","PreservedSpecimen","bb9b4539-5b0d-462f-abd1-a881fe645458","","286133","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis heterophylla","Nees","Physalis","heterophylla","","","Janet Sullivan","July 2012","","","","","","L. R. Landrum",NA,"D. Lafferty","11598","2011-08-16",2011,8,16,228,NA,"","","Secondary growth of small trees and shrubs","","Perennnial herb at edge of shrubby thicket","","",NA,"","","","",0,"",NA,NA,NA,NA,"","USA","Minnesota","","","Northfield, near river and railroad tracks on west side of town.","",0,NA,44.453121,-93.170914,"",100,"","","","","","",280,NA,NA,NA,NA,"","","","Landrum","2015-07-13 14:23:47","",1,"urn:uuid:bb9b4539-5b0d-462f-abd1-a881fe645458","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3197362"
1051990,"ASC","","","PreservedSpecimen","962d9da5-73e1-4979-8b83-9f2586dd80c6","79828","","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis heterophylla","Nees","Physalis","heterophylla","","","","","","","","","","L.C. Higgins",NA,"N.D. Atwood","24267","2003-04-14",2003,4,14,104,NA,"","","Sandstone to limestone substrate, mixed desert shrub community.","","","","",NA,"","","","",0,"",NA,NA,NA,NA,"","USA","ARIZONA","Mohave County","","Lake Mead National Recreation Area, Whitmore Overlook Area.","",NA,NA,36.1434,-113.2943,"",1250,"T32N R09W S30","","","LL from TRS- 050106","","",1000,NA,NA,NA,NA,"","","","Kristin","2015-01-06 14:31:47","67176",3,"urn:uuid:962d9da5-73e1-4979-8b83-9f2586dd80c6","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=1051990"
378467,"UCR","","","PreservedSpecimen","","UCR-11868","","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis heterophylla","Nees","Physalis","heterophylla","","","","","","","","","","C.H. Muller",NA,"","s.n.","1932-07-23",1932,7,23,205,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Texas","Brewster","","Oak Canyon","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2017-01-24 14:59:06","UCR-11868",9,"urn:uuid:5a85504f-fcf9-471b-99d6-813cc4df34c0","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=378467"
182724,"USU","UTC","","PreservedSpecimen","2dd8af6f-49dd-44f4-a1c5-3ef2c7db7c53","UTC00026840","","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis heterophylla","Nees","Physalis","heterophylla","","","","","","","","","","Bassett Maguire ",NA,"","6688","1929-08-10",1929,8,10,222,NA,"","","","","","","",NA,"","","","",0,"",NA,NA,NA,NA,"","United States","New York","Tompkins","","McLean ","",0,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2016-11-30 13:49:51","26840",16,"urn:uuid:2dd8af6f-49dd-44f4-a1c5-3ef2c7db7c53","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=182724"
4106227,"UNM","","","PreservedSpecimen","78d707fd-f33c-4af1-a443-fd4b175a9ac3","","109822","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis heterophylla","Nees","Physalis","heterophylla","","","","","","","","","","L.C. Higgins",NA,"","26705","2005-06-01",2005,6,1,152,NA,"6/1/2005","Limstone and gypsum soils of Harrisburg formation. With Larrea, brickellia, coleogyne community.","Limstone and gypsum soils of Harrisburg formation.","","","","",NA,"","Larrea, brickellia, coleogyne community.","","",NA,"",NA,NA,NA,NA,"Sheets - 1","United States","Arizona","Mohave","","Black Rock Gulch.","",NA,NA,36.8985,-113.6788,"WGS84",208,"36° 53.91'N, 113° 40.73'W","","Maiitsoh Protocol V3.0","","","From label longlat coordinates. No datum given.",1078,NA,NA,NA,NA,"3540ft","","","","2006-03-20 19:25:41","105369",21,"urn:uuid:78d707fd-f33c-4af1-a443-fd4b175a9ac3","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4106227"
148994,"NMC","","","PreservedSpecimen","","69784","","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis heterophylla","Nees","Physalis","heterophylla","","","","","","","","","","R.W. Spellenberg and L. Brouillet",NA,"","12576","1998-08-11",1998,8,11,223,NA,"","","Rhyolite boulder flats with gravelly sand between boulders and in pockets","","Corolla cream, with small blackish patches at base of lobes","","",NA,"","with Pinus ponderosa, Quercus gambelii, Juniperus deppeana, Cercocarpus montana","","",NA,"",NA,NA,NA,NA,"","United States","New Mexico","Grant","","NM Hwy 15 to Cliff Dwellings, 6 km N of Pinos Altos","",NA,NA,32.8975,-108.2437,"",NA,"","","","","","",2035,NA,NA,NA,NA,"2035m","","","","2015-05-02 02:30:11","69784",22,"urn:uuid:ead482c2-ebb0-4bf5-ad62-730fa621d466","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=148994"
3162397,"NMC","","","PreservedSpecimen","","23649","","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis heterophylla","Nees","Physalis","heterophylla","","","J.R. Sullivan","Mar. 1994","","","","","","V.H. Chase",NA,"","140","1898-07-29",1898,7,29,210,NA,"","","dry clay bank","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Illinois","Stark","","near Wady Petra","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-05-02 02:30:11","23649",22,"urn:uuid:193131b3-896e-4035-ada2-e1456531ff3f","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3162397"
3162398,"NMC","","","PreservedSpecimen","","23648","","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis heterophylla","Nees","Physalis","heterophylla","","","J.R. Sullivan","Mar. 1994","","","","","","O.W. Knight",NA,"","sn","1905-07-19",1905,7,19,200,NA,"","","grassland","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Maine","Piscataquis","","Brownville","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-05-02 02:30:11","23648",22,"urn:uuid:baf1aeb9-2916-448b-9d22-1ad8910f9b44","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3162398"
3162399,"NMC","","","PreservedSpecimen","","23703","","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis heterophylla","Nees","Physalis","heterophylla","","","J.R. Sullivan","Mar. 1994","","","","","","J.H. Sandberg",NA,"","975","1891-09-21",1891,9,21,264,NA,"","","sandy soil","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Minnesota","Hennepin","","Minneapolis","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-05-02 02:30:11","23703",22,"urn:uuid:6d8a4ca5-bd73-4db3-b843-31d59b3c6918","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3162399"
3162400,"NMC","","","PreservedSpecimen","","23702","","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis heterophylla","Nees","Physalis","heterophylla","","","J.R. Sullivan","Mar. 1994","","","","","","J.B. Norton",NA,"","367","1895-06-26",1895,6,26,177,NA,"","","sandy soil","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Kansas","Riley","","","",NA,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2015-05-02 02:30:11","23702",22,"urn:uuid:eb18a8da-6194-4d03-a03d-75e8da521994","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3162400"
