"decimalLatitude","decimalLongitude"
44.453121,-93.170914
36.1434,-113.2943
36.8985,-113.6788
32.8975,-108.2437
39.5283,-105.0729
39.1788,-104.5371
39.5506,-105.1349
40.5505,-105.1714
40.2701,-104.7631
40.5721,-105.0313
40.5575,-105.1494
40.6151,-105.3054
40.5505,-105.1714
40.5654,-105.1599
40.5954,-105.1941
40.5519,-105.0195
40.5779,-105.1824
37.83161,-114.36281
32.609592,-85.4802847
32.609592,-85.4802847
40.7009,-105.3185
44.0835,-103.2204
44.4211,-103.8809
45.9448,-103.9365
45.9448,-103.9365
44.3526,-103.9317
42.7618,-104.9212
44.6717,-104.1794
44.3908,-104.7694
44.5557,-104.1226
44.8436,-104.4053
44.7881,-104.14222
44.59333,-104.7303
44.6567,-104.1592
44.6864,-104.1794
44.58306,-104.0578
44.80278,-104.2842
44.4661,-104.0622
36.8441667,-110.6716667
39.999611,-105.306314
40.028917,-105.210528
39.550164,-105.099111
39.85583,-105.41667
39.543202,-104.309046
40.994286,-105.021615
41.565195,-87.596555
39.886018,-91.24889
39.63052,-88.05806
41.514722,-71.703611
39.402222,-88.079444
38.932222,-88.188056
38.906499,-88.176151
43.03889,-87.90639
40.377622,-89.927167
39.021738,-95.638566
48.2377,-101.3147
32.6729,-80.7861
38.9333333,-91.95
37.8166667,-90.9333333
37.28166,-93.525
38.7692,-91.2753
37,-91.1833333
40.0611111,-95.2297223
37.9736111,-92.7702778
40.5611111,-95.6338889
39.0244445,-90.9641667
36.7102778,-89.4736111
40.4452777,-91.5580556
40.5011111,-95.2116667
38.0311111,-91.9755556
36.7508333,-92.9380555
36.9922222,-92.1716667
37.0886111,-92.6577778
37.4747223,-92.7141667
37.0913889,-90.0594444
38.3891666,-91.8033333
36.7091667,-94.4275
36.7727778,-91.3316667
36.5777778,-92.0977777
37.8333333,-94.3
37.3266667,-91.5472222
40.6083333,-91.7466666
37.18,-91.17
38.5725,-90.8819445
39.1555556,-94.3933333
37.305,-93.4283334
37.4725,-90.2972222
39.3705556,-90.905
40.4577778,-92.1711111
37.0669445,-91.0636111
37.6427777,-91.0669445
39.5377777,-92.6347222
39.2408333,-94.2877777
37.4222223,-91.0930555
38.5766667,-92.1733334
37.8863889,-90.3166667
40.4411111,-92.0683334
37.9261111,-91.9775
36.8758334,-90.4911111
39.1130556,-91.8894444
37.2383333,-94.4172223
36.5866666,-92.2863889
38.50361,-90.67583
37.08416,-94.51305
38.50277,-90.28027
38.50361,-90.67583
39.09111,-94.41528
36.5455555,-94.485
38.50361,-90.67583
39.3705556,-90.905
38.6551,-90.4403
37.0841666,-94.5130556
38.50361,-90.67583
38.5925,-90.35722
38.6551,-90.4403
38.50361,-90.67583
39.3705556,-90.905
38.47,-90.82
39.15556,-94.39333
37.4829,-90.437252
38.340409,-90.506401
37.90056,-84.268333
38.4694,-90.8036
39.5806,-94.5194
38.6892,-91.0131
38.8628,-90.1722
40.3006944,-95.5104722
38.9519167,-91.9997777
39.09111,-94.41528
39.15556,-94.39333
39.3705556,-90.905
38.0466666,-93.7041667
38.0625,-91.0022222
37.1169445,-93.6813889
40.1975,-95.3233334
40.4372222,-92.7158333
37.1819445,-91.2608333
39.4764,-91.8622
38.50361,-90.67583
37.8130556,-94.2769445
40.6083333,-91.7466666
40.486238,-74.451466
39.4488889,-91.0513889
37.8011,-90.2971
36.79527,-93.0625
38.0094444,-90.2177778
40.3052778,-93.2055556
36.7130556,-90.2902777
37.0333333,-89.5
38.5492,-90.4926
38.578,-90.773
40.395,-92.5827778
40.3124,-92.8431
37.92611,-91.9775
37.6144444,-93.4102778
38.7713889,-90.3708334
37.48,-91.7186111
40.48,-90.06
37.7705556,-94.3397222
40.48,-90.06
34.907524,-85.063482
44.170722,-99.572722
30.45845973,-84.27766976
30.45845973,-84.27766976
30.86415255,-83.91919659
30.86415255,-83.91919659
32.425,-99.96
32.425,-99.96
31.238,-98.74
31.725,-99.07
31.77,-98.92
31.756,-98.84
31.77,-98.92
31.77,-98.92
31.756,-98.84
31.778,-98.12
31.756,-98.84
31.756,-98.84
31.756,-98.84
31.756,-98.84
31.77,-98.92
31.747,-98.88
31.756,-98.84
31.756,-98.84
31.238,-98.74
31.778,-98.12
31.67,-98.05
31.8,-98.79
44.58172,-104.70603
44.582353,-104.709167
44.580932,-104.7061132
44.581646,-104.707895
37.64135,-84.661319
44,-87
45.08333,-88.38333
46.91667,-90.68333
33.925556,-94.4125
30.75,-92.2833333
30.75,-92.2833333
32.9916667,-94.0180556
33.908119,-89.456329
33.908119,-89.456329
33.68527778,-90.03361111
35.915401,-82.064561
33.69756,-89.70972
32.0089,-91.0317
32.89819,-90.8363
32.32555556,-90.15666667
32.32555556,-90.15666667
34.95,-88.1808
33.92917,-88.9292
31.805,-88.50527778
34.98388889,-88.22611111
32.09027778,-90.67583333
32.34528,-89.5108
34.27639,-88.7439
33.28861111,-89.13444444
33.41839,-89.42425
44.47544319,-89.55873409
40.2154,-90.1129
41.07477,-87.60091
41.33116,-88.28826
40.38271,-89.90047
39.96825,-90.46497
38.48315,-89.143
38.82428,-89.08855
42.77526,-100.01957
42.7863,-100.56709
42.81432,-100.555592
42.91898,-100.446291
40.66096,-89.12879
38.9322,-88.1881
32.7822,-93.9743
40.34989,-89.12984
41.36946,-88.19078
40.99045,-89.45587
37.67197,-89.46673
39.96427,-90.47623
43.111616,-83.236611
35.524328,-80.455086
32.3349,-84.0295
31.4813667,-84.2727667
45.09062651,-122.5005264
32.136902,-85.158431
34.37,-87.02
34.396532,-93.616437
37.169553,-89.068952
