"id","institutionCode","collectionCode","ownerInstitutionCode","basisOfRecord","occurrenceID","catalogNumber","otherCatalogNumbers","kingdom","phylum","class","order","family","scientificName","scientificNameAuthorship","genus","specificEpithet","taxonRank","infraspecificEpithet","identifiedBy","dateIdentified","identificationReferences","identificationRemarks","taxonRemarks","identificationQualifier","typeStatus","recordedBy","recordedByID","associatedCollectors","recordNumber","eventDate","year","month","day","startDayOfYear","endDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","substrate","verbatimAttributes","fieldNumber","informationWithheld","dataGeneralizations","dynamicProperties","associatedTaxa","reproductiveCondition","establishmentMeans","cultivationStatus","lifeStage","sex","individualCount","samplingProtocol","samplingEffort","preparations","country","stateProvince","county","municipality","locality","locationRemarks","localitySecurity","localitySecurityReason","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","verbatimCoordinates","georeferencedBy","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","verbatimElevation","disposition","language","recordEnteredBy","modified","sourcePrimaryKey","collId","recordId","references"
729605,"ASU","Plants","","PreservedSpecimen","31d06a19-88e2-4e3e-876b-1fb56d47843d","","264118","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","L. R. Landrum","2013","","","","","","Elena Ortiz-Barney",NA,"","335","2000-09-09",2000,9,9,253,NA,"","","Desert Grassland","","","","",NA,"","Eragrostis intermedia, Lycurus setosus, Isocoma tenuisecta","","",0,"",NA,NA,NA,NA,"","USA","Arizona","Santa Cruz County","","Audubon Society's Appleton-Whittell Research Ranch, (Site-3) west of road to headquarters just south of fork","",0,NA,31.608,-110.504,"WGS 1984",NA,"UTM: 12 547053 3497089","","","lat/long generated from utm data field data-9Aug05","","",1463,1475,NA,NA,NA,"4800-4840ft","","","egbot","2015-07-13 14:23:47","103383",1,"urn:uuid:31d06a19-88e2-4e3e-876b-1fb56d47843d","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=729605"
3025545,"ASU","Plants","","PreservedSpecimen","f4497113-0cc2-48f4-a70a-84dfb2ea796a","ASU0050925","206022","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","","","","","","","","S. Friedman",NA,"J. R. Zittere","094-95","1995-01-18",1995,1,18,18,NA,"","","Coastal Thornscrub.","","Rare annual; flowers yellow with purple center. Tomatillo, tomate.","","",NA,"","Stenocereus thurberi, Stenocereus alamosensis, and Croton sonorae.","","",NA,"",NA,NA,NA,NA,"","Mexico","Sonora","","","Sirebampo vicinity. 9.5 km south on Mexico 15 from Las Bocas Road turnoff, 3.5 km west on Sirebampo Rd., 11.5 km south (by air) San Jose de Masiaca.","",NA,NA,26.64583,-109.2542,"",NA,"26d 38m 45s N, 109d 15m 15s W","","","","","",30,NA,NA,NA,NA,"","","","Amanda 2012_01_17","2015-01-06 14:31:47","",1,"urn:uuid:f4497113-0cc2-48f4-a70a-84dfb2ea796a","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3025545"
3034942,"ASU","Plants","","PreservedSpecimen","f5e044c4-181a-420e-8d12-a715f13fff36","","283533","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","Les Landrum","2013","","","","","","Liz Makings",NA,"","3743","2011-09-16",2011,9,16,259,NA,"","","grassy, herbaceous area along road with scattered mesquite","","scattered annual, corolla yellow, pendant","","",NA,"scattered annual, corolla yellow, pendant","Sorghum halepense, Amaranthus palmeri, Atriplex canescens, Panicum obtusum, Chloris virgata, Prosopis velutina, Urochloa, Panicum capillare, Proboscidea, Chamaesyce spp.","","",NA,"",NA,NA,NA,NA,"","USA","Arizona","Cochise County","","Escalante Road, San Pedro Riparian National Conservation Area","",NA,NA,31.86,-110.23,"",NA,"","","","","","",1130,NA,NA,NA,NA,"3707ft","","","","2015-07-13 14:23:47","",1,"urn:uuid:f5e044c4-181a-420e-8d12-a715f13fff36","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3034942"
3825230,"ASU","Plants","","PreservedSpecimen","a72ad24c-9a33-4dae-8252-f648da0e72cb","","","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","","","","","","","","L. R. Landrum",NA,"Daryl Lafferty","12005","2013-09-15",2013,9,15,258,NA,"","","Cultivated in pot.","","Grown from seed from grocery store fruit; suberect to prostrate herb; flowers yellow.","","",NA,"","","","",0,"",NA,NA,NA,NA,"","United States","Arizona","Maricopa","","Tempe, 9308 S. Margo Dr. in back yard.","",0,NA,33.328561,-111.961331,"",20,"","","","","","",409,NA,NA,NA,NA,"1214 ft","","","Landrum","2015-01-06 14:31:47","",1,"urn:uuid:a72ad24c-9a33-4dae-8252-f648da0e72cb","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3825230"
4535951,"ASU","Plants","","PreservedSpecimen","d362d8a3-50a1-4aaf-9cdf-41ce7e196766","","289226","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","","","","","","","","Liz Makings",NA,"","4300","2013-09-19",2013,9,19,262,NA,"","","margins of cienega","","infrequent annual; flowers yellow, nodding","","",NA,"","Prosopis velutina, Sueada nigra, Heliomeris mutliflora, Psilactis brevilingulata, Atriplex wrightii, A. canescens, Panicum hirticaule, Setaria adhaerens, Typha, Schoenoplectus americanus, Berula erecta","","",NA,"",NA,NA,NA,NA,"","United States","Arizona","Cochise County","","San Pedro Riparian National Conservation Area; 1.5 river miles south of Escalante Crossing dirt road","",NA,NA,31.85109,-110.21298,"",NA,"","","","","","",1120,NA,NA,NA,NA,"3660ft","","","","2015-08-13 11:34:41","",1,"urn:uuid:d362d8a3-50a1-4aaf-9cdf-41ce7e196766","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=4535951"
5763504,"ASU","Plants","","PreservedSpecimen","04e1d950-a213-4360-8418-698482e54bb1","ASU0082182","291468","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","L. R. Landrum","Dec 2014","","","","","","Sue Carnahan",NA,"Tom Van Devender, Max Licher","SC 711","2014-09-27",NA,NA,NA,270,NA,"","ASU","Seasonal drainage with oak and mesquite","","Annual forb, 20cm; leaves shallowly toothed; stems and leaves with spreading hairs, especially on new growth; flowers pale yellow, small, with pale straight anthers","","",NA,"","Quercus emoryi, Quercus oblongifolia, Prosopis velutina, Erythrina flabelliformis, Aristida ternipes, Mimosa dysocarpa, Bothriochloa barbinodis, Brickellia venosa, Brickellia californica, Hibiscus biseptus, Elytraria imbricata, Ipomoea, Tetramerium nervosum, Gomphrena sonorae, Baccharis sarothroides, Baccharis salicifolia, Baccharis pteronioides, Baccharis thesioides","","",NA,"",NA,NA,NA,NA,"","United States","Arizona","Santa Cruz","","Ruby in Pajarito Mountains, drainage below tailings","",0,NA,31.45502,-111.23434,"WGS84",NA,"","","","","","",1262,NA,NA,NA,NA,"","","","waltola64","2015-03-12 06:04:08","",1,"urn:uuid:04e1d950-a213-4360-8418-698482e54bb1","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=5763504"
6709422,"ASU","Plants","","PreservedSpecimen","2881b972-d3f8-4fce-9b82-af11e3d26c05","ASU0086323","292583","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","L. R. Landrum","2017","","","","cf","","T. R. Van Devender",NA,"A. L. Reina-G. , S. L. Minter, C. Hinojo-Hinojo, D. Delgado-Zamora, M. Gómez, E. Ramírez","2009-932","2009-09-05",2009,9,5,248,NA,"","","Riparian gallery forest with foothills thornscrub on slopes","","Solitary annual; flowers light yellow with dark centers","","",NA,"","","Flowering","",NA,"",NA,NA,NA,NA,"","Mexico","Sonora","Sahuaripa","Sahuaripa","Rancho Dubaral, 43 km (by air) NNE of Sahuaripa, Reserva Jaguar del Norte","",0,NA,29.441389,-109.153611,"",NA,"29d 26' 29"" N 109d 09' 13"" W","","","","","",587,NA,NA,NA,NA,"","","","waltola64","2017-02-22 13:04:43","",1,"urn:uuid:2881b972-d3f8-4fce-9b82-af11e3d26c05","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=6709422"
6729832,"ASU","Plants","","PreservedSpecimen","73a39a1e-ac57-4c4b-86ec-6c06ab104bfe","ASU0086344","292580","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","L. R. Landrum","2017","","","","","","T.R. Van Devender",NA,"A.L. Reina-G., G. Luna, M. Reyes","2010-1146","2010-10-06",2010,10,6,279,NA,"","","Desert grassland","","Solitary annual","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","Mexico","Sonora","Cucurpe","Cucurpe","Just west of Cienega de Saracachi, Rancho Agua Fria, 10.2 km (by air) ENE of Cucurpe","",0,NA,30.361111,-110.603333,"",NA,"30d 21' 40"" N 110d 36' 12"" W","","","","","",949,NA,NA,NA,NA,"","","en","waltola64","2017-02-22 13:03:50","",1,"urn:uuid:73a39a1e-ac57-4c4b-86ec-6c06ab104bfe","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=6729832"
6754303,"ASU","Plants","","PreservedSpecimen","8f01ce4f-d9b1-420e-ac0a-1d94497c2e71","ASU0085629","292413","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","L. R. Landrum","2017","","","","","","T. R. Van Devender",NA,"A. L. Reina G. , R. A. Villa","2011-553","2011-09-04",2011,9,4,247,NA,"","","Pine-Oak forest.","","Rare herbaceous perennial","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","Mexico","Sonora","Bacadehuachi","","Rincon de Guadalupe, 16.5 km (by air) ENE of Bacadehuachi, Arroyo Campo Los Padres (Rio Riito) Sierra Bacadehuachi.","",0,NA,29.844444,-108.976944,"",NA,"29° 50' 40'' N 108° 58' 37'' W","","","","","",1690,NA,NA,NA,NA,"","","en","dwscott","2017-02-22 12:39:37","",1,"urn:uuid:8f01ce4f-d9b1-420e-ac0a-1d94497c2e71","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=6754303"
7224904,"ASU","Plants","","PreservedSpecimen","2e299ebc-3613-46e6-b666-a021441a567e","ASU0085840","292507","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis philadelphica","Lam.","Physalis","philadelphica","","","","","","","","cf","","A.L. Reina-G.",NA,"T.R. Van Devender, S.L. Minter, C. Hinojo Hinojo, D. Delgado Zamora, M. Gómez, E. Ramírez","2009-796","2009-09-02",2009,9,2,245,NA,"","Rare annual; flowers yellow with dark centers.","Riparian gallery forest with foothills thornscrub on slopes.","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","Mexico","Sonora","Sahuaripa","","Municipio de Sahuaripa. Rancho Babisal de Arriba, 38.5 km (by air) NNE Sahuaripa, Reserva del Jaguar del Norte.","",0,NA,29.392222,-109.133611,"",NA,"29d 23m 32s 109d 8m 1s","","","","","",800,NA,NA,NA,NA,"","","en","dwscott","2017-02-22 12:34:38","",1,"urn:uuid:2e299ebc-3613-46e6-b666-a021441a567e","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=7224904"
