"decimalLatitude","decimalLongitude"
31.608,-110.504
26.64583,-109.2542
31.86,-110.23
33.328561,-111.961331
31.85109,-110.21298
31.45502,-111.23434
29.441389,-109.153611
30.361111,-110.603333
29.844444,-108.976944
29.392222,-109.133611
29.441389,-109.153611
33.328673,-111.961335
31.41088,-110.105217
35.47056,-114.51056
31.60111,-109.66944
31.5575,-110.513333
30.76667,-115.9167
28.37361,-108.925
26.93333,-109.0583
28.39167,-108.6583
28.38333,-108.7667
28.38083,-108.9147
28.35,-108.3167
27.03333,-108.7333
28.5,-108.5
30.557277,-108.644849
33.3945,-117.3204
28.35,-108.316667
27.033333,-108.733333
31.704289,-110.629725
30.487714,-108.541333
27.63889,-113.0333
31.779165,-110.675712
26.933333,-109.058333
28.380833,-108.914722
28.383333,-108.766667
19.44167,-103.68167
34.01667,-117.38333
34.01333,-117.51056
34.16444,-117.90167
34.20667,-117.40306
33.98972,-117.33306
34.04528,-117.38306
34.19861,-117.41333
34.39067,-119.51967
34.43472,-119.63333
33.29389,-117.22222
34.61567,-120.19503
34.17556,-119.22028
28.37361,-108.925
19.445,-103.69833
27.71722,-107.61861
19.225,-98.96361
19.225,-98.96361
19.45167,-103.69333
34.44278,-117.83194
33.95,-117
33.81667,-117.53333
34.09583,-117.99
33.3945,-117.32039
34.66414,-120.33572
34.04419,-117.35311
33.9806,-117.322
27.7172,-107.619
27.6022,-107.539
41.734167,-111.823344
32.32273702,-106.5735009
28.1833,-108.2083
28.1611,-108.2083
28.1611,-108.2083
27.0703,-107.6983
40.63,-104.75
41.734167,-111.823344
30.487714,-108.541333
30.487714,-108.541333
30.557277,-108.644849
30.486773,-108.539274
31.45502,-111.23434
31.41257,-110.106122
31.41257,-110.106122
39.659587,-105.062746
39.73193,-104.9619
41.257222,-72.026389
33.3945,-117.32041
39.15556,-94.39333
39.15556,-94.39333
39.15556,-94.39333
38.6061667,-90.3021389
39.15555,-94.39333
39.15556,-94.39333
39.15556,-94.39333
38.6141667,-90.2591667
39.15556,-94.39333
39.15556,-94.39333
38.6654722,-90.7329723
39.15556,-94.39333
34.915422,-85.062401
37.541544,-84.517753
24.505465,-110.747533
26.233333,-112.1
28.331499,-109.025498
27.033333,-113.116667
25.766667,-113.516667
30.006531,-115.235991
27.633333,-113.033333
45.5236,-122.675
