"id","institutionCode","collectionCode","ownerInstitutionCode","basisOfRecord","occurrenceID","catalogNumber","otherCatalogNumbers","kingdom","phylum","class","order","family","scientificName","scientificNameAuthorship","genus","specificEpithet","taxonRank","infraspecificEpithet","identifiedBy","dateIdentified","identificationReferences","identificationRemarks","taxonRemarks","identificationQualifier","typeStatus","recordedBy","recordedByID","associatedCollectors","recordNumber","eventDate","year","month","day","startDayOfYear","endDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","substrate","verbatimAttributes","fieldNumber","informationWithheld","dataGeneralizations","dynamicProperties","associatedTaxa","reproductiveCondition","establishmentMeans","cultivationStatus","lifeStage","sex","individualCount","samplingProtocol","samplingEffort","preparations","country","stateProvince","county","municipality","locality","locationRemarks","localitySecurity","localitySecurityReason","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","verbatimCoordinates","georeferencedBy","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","verbatimElevation","disposition","language","recordEnteredBy","modified","sourcePrimaryKey","collId","recordId","references"
705829,"ASU","Plants","","PreservedSpecimen","57f5599c-2e5b-43b8-893f-2e9fd1b9bc39","","190813","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","","","","","","","","Lara Gengarelly",NA,"","112","1993-10-07",1993,10,7,280,NA,"","","Fremont cottonwood and Goodding willow riparian forest understory","","","","",NA,"","Populus fremontii, Salix gooddingii","fruit","",0,"",NA,NA,NA,NA,"","USA","Arizona","Santa Cruz County","","147m from Sonoita Creek","",0,NA,31.5311,-110.817,"",700,"TRS: T22S R15E S9","","","TRS data - 16 Nov 05","","",1220,NA,NA,NA,NA,"","","","Roisan","2015-01-06 14:31:47","74156",1,"urn:uuid:57f5599c-2e5b-43b8-893f-2e9fd1b9bc39","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=705829"
3025846,"ASU","Plants","","PreservedSpecimen","de9b5278-d5f4-4097-ba1b-a9f65a521dde","ASU0050932","113707","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","Mahinda Martinez","1993","","","","","","Rafael Hernandez Magana",NA,"","3595","1979-08-06",1979,8,6,218,NA,"","","Vegetación baja, espinosa, caducifolia. Suelo pedregoso, calizo, somero.","","Planta herbácea de 30-40 cm. de alto, flores amarillas fruto con cáliz acrescente.","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","Mexico","Hidalgo","","","Mpio. de Metzquititlán. Barranca de Venados.","",NA,NA,20.533333,-98.65,"",12000,"","Velia","","georef batch tool 2013-02-11; GeoLocate","reviewed - high confidence","",1800,NA,NA,NA,NA,"","","","Amanda 2012_01_19","2015-01-06 14:31:47","",1,"urn:uuid:de9b5278-d5f4-4097-ba1b-a9f65a521dde","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3025846"
3077816,"DES","","","PreservedSpecimen","c37cb94d-0e11-44eb-8fa5-680240ebe96d","DES00014214","","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","","","","","","","","R. Dale Thomas",NA,"Paul S. Marx","39867","1974-06-22",1974,6,22,173,NA,"","","","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","USA","Louisiana","Caldwell","","Rights-of-way of railroad and US 165 at Corey.","",0,NA,32.152672,-92.116495,"WGS84",969,"TRS: T14N R3E sec 36","","","GeoLocate","","",NA,NA,NA,NA,NA,"","","","Jmurphy","2015-07-13 14:23:47","",5,"urn:uuid:c37cb94d-0e11-44eb-8fa5-680240ebe96d","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3077816"
3078014,"DES","","","PreservedSpecimen","564a7f25-f26e-4412-8cfc-21785e081799","DES00027795","","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","","","","","","","","Larry C. Higgins",NA,"","13128","1983-05-09",1983,5,9,129,NA,"","","Sandy soil; mixed shrub, grassland community.","","","","",NA,"","","flower","",NA,"",NA,NA,NA,NA,"","USA","Texas","Wheeler","","North of Mobettie and south of the Boy Scout camp along TX 48.","",0,NA,35.559969,-100.442535,"",5000,"","eleanoreros","","georef batch tool 2013-09-11","reviewed - high confidence","",NA,NA,NA,NA,NA,"","","","jdery","2015-07-13 14:23:47","",5,"urn:uuid:564a7f25-f26e-4412-8cfc-21785e081799","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3078014"
3078045,"DES","","","PreservedSpecimen","8443398e-8a53-4329-ae47-2d0c52fb9dca","DES00030080","","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","","","","","","","","Larry C. Higgins",NA,"","14927","1984-09-11",1984,9,11,255,NA,"","","Riparian, weedy, and grassland community; sandy-clay soil.","","","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","USA","Texas","Randall","","Just north of Canyon, along Palo Duro Creek and breaks.","",0,NA,35.009611,-101.901149,"",210,"","eleanoreros","","georef batch tool 2013-09-14; GeoLocate","reviewed - high confidence","",NA,NA,NA,NA,NA,"","","","jdery","2015-07-13 14:23:47","",5,"urn:uuid:8443398e-8a53-4329-ae47-2d0c52fb9dca","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3078045"
342880,"UCR","","","PreservedSpecimen","","UCR-118021","","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","A.C. Sanders","","","","","","","George K. Helmkamp",NA,"E.A. Helmkamp","7027","2001-09-14",2001,9,14,257,NA,"","","Creosote bush scrub and grassland on east alluvial fan.","","Uncommon. Fls yellow.","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Arizona","Cochise","","French Joe Canyon Road along AZ-90, 11 miles south of Interstate-10, near French Joe Tank","",NA,NA,31.81517,-110.34733,"",NA,"","","","","","Collector GPS",1395,NA,NA,NA,NA,"","","","","2017-01-24 14:59:06","UCR-118021",9,"urn:uuid:84b176c8-ca84-4986-845d-d2b9c0aa33d9","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=342880"
386984,"UCR","","","PreservedSpecimen","","UCR-39423","","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana var. sonorae","(Torr.) Waterfall","Physalis","virginiana","var.","sonorae","","","","","","","","A.C. Sanders",NA,"","5935","1985-07-08",1985,7,8,189,NA,"","","Riparian woodland beside two small ponds in the river valley; Salix, Populus and Prosopis dominant.","","An uncommon perennial with yellow-green fls.","","",NA,"","","","",NA,"",NA,NA,NA,NA,"","United States","Arizona","Santa Cruz","","Kino Springs, 1.2 to 2.0 miles east of Hwy 82 along the south side of the Santa Cruz River, c. 5 mi. (airline) NE of Nogales","",NA,NA,31.37861,-110.855,"",NA,"","","","","","GoogleEarthACS",1159,NA,NA,NA,NA,"","","","","2017-01-24 14:59:06","UCR-39423",9,"urn:uuid:1a52a085-6465-4789-b9bf-fa78f37f5e90","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=386984"
240692,"USU","UTC","","PreservedSpecimen","0e9d9a2c-760f-446b-843f-8662c2a68b07","UTC00232854","","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","","","","","","","","Sandy Long ",NA,"","993","2000-07-02",2000,7,2,184,NA,"","","Slope 18 degrees  aspect 30 degrees NNE. Snakeweed - Threeawn - Cheatgrass community. ","","","","",NA,"","Gutierrezia sarothrae  Aristida purpurea  Bromus t ","","",0,"",NA,NA,NA,NA,"","United States","Utah","Tooele","","Site 24.1. ","",0,NA,40.4961111,-112.3988889,"",NA,"","","","","","",1472,NA,NA,NA,NA,"","","","","2016-11-30 13:49:51","232854",16,"urn:uuid:0e9d9a2c-760f-446b-843f-8662c2a68b07","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=240692"
242102,"USU","UTC","","PreservedSpecimen","c4d052e7-78db-4334-b450-cb7494cb126b","UTC00234394","","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","Assumed to be collector","Assumed to be collection year","","","","","","Doug Johnson ",NA,"","sn","1997-08-13",1997,8,13,225,NA,"","UTM Zone 12 Easting 416479 Northing 4472483. Voucher for Digital Image 2008","South aspect in fallow agricultural field ","","","","",NA,"","","","",0,"",NA,NA,NA,NA,"","United States","Utah","Salt Lake","","Hilly area ","",0,NA,NA,NA,"",NA,"","","","","","",1650,NA,NA,NA,NA,"5400ft","","","","2016-11-30 13:49:51","234394",16,"urn:uuid:c4d052e7-78db-4334-b450-cb7494cb126b","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=242102"
268321,"USU","UTC","","PreservedSpecimen","c9bde667-f695-43f2-84f0-4cc1529b913f","UTC00219856","","Plantae","Magnoliophyta",NA,"Solanales","Solanaceae","Physalis virginiana","P. Mill.","Physalis","virginiana","","","","","","","","","","Andreas Leidolf; John R. MacDonald ",NA,"","685","1994-08-11",1994,8,11,223,NA,"","","Interior Flatwoods region  prostrate  along dirt road  on south side of creek  Virginia Groundcherry.","","","","",NA,"","","","",0,"",NA,NA,NA,NA,"","United States","Mississippi","Oktibbeha","","On Hwy. 389 ca. 4.5 miles north of Starkville  small drainage just N of Trim Cane Creek  0.25 miles south of Camp Semino ","",0,NA,NA,NA,"",NA,"","","","","","",NA,NA,NA,NA,NA,"","","","","2016-11-30 13:49:51","219856",16,"urn:uuid:c9bde667-f695-43f2-84f0-4cc1529b913f","http://swbiodiversity.org/seinet/collections/individual/index.php?occid=268321"
