"decimalLatitude","decimalLongitude"
31.5311,-110.817
20.533333,-98.65
32.152672,-92.116495
35.559969,-100.442535
35.009611,-101.901149
31.81517,-110.34733
31.37861,-110.855
40.4961111,-112.3988889
35.57252,-105.755
35.77796,-105.34476
32.81955,-108.309183
40.5753,-105.05
35.5426111,-88.0060919
21.9319444,-99.98
43.89099,-104.07884
43.4519,-103.5093
43.8009,-103.4568
43.8009,-103.4568
43.6165,-96.5655
40.77,-105.093333
33.3962,-104.5241
43.6911,-104.0503
43.6767,-104.0503
44.4219,-104.32611
44.30472,-104.2225
37.5511,-105.0936
37.6093,-104.8018
37.0661,-101.7306
37.7685,-103.5116
37.5758,-103.6584
37.7649,-103.5133
39.3814,-105.3434
36.70199,-108.16296
39.742553,-105.184408
39.805595,-105.173817
39.861624,-104.855679
39.551688,-105.081266
39.534756,-105.068132
39.550369,-105.100972
39.711902,-104.805407
39.676362,-107.572094
40.136142,-104.462954
40.976336,-104.511576
39.541043,-104.306659
39.768382,-104.881049
38.57817,-105.20129
39.676362,-107.572094
40.41667,-89.6
42.703122,-87.849374
35.88635,-106.31565
33.8226,-80.5304
33.9747,-81.5968
33.3367,-81.0187
38.2966,-38.95746
38.19166,-91.10416
38.0153056,-90.2276945
37.80083,-90.56111
38.66083,-90.4225
38.17444,-91.54388
38.17361,-93.28722
38.48194,-90.74138
36.95222,-90.99416
37.09305,-93.72444
37.63944,-93.04027
37.61666,-90.28333
38.57666,-92.17333
40.13111,-95.23138
40.3338889,-92.9597222
37.9261111,-91.9775
36.48333,-90.13333
39.565,-91.84
36.89416,-90.27833
36.952,-90.994
39.89472,-92.73777
36.86472,-92.37472
39.015,-94.19833
36.78,-92.91944
37.58194,-90.77916
38.90111,-91.57305
36.80527,-93.46638
37.1913889,-89.6402777
37.8863889,-90.3166667
37.6211111,-90.6402777
38.50361,-90.67583
36.9869444,-91.5752778
38.975,-94.5527778
39.09111,-94.41528
38.50361,-90.67583
38.50361,-90.67583
38.9108,-94.3821
37.0841666,-94.5130556
38.4616667,-90.2875
38.50361,-90.67583
38.50361,-90.67583
39.0558235,-95.6890185
38.2806,-90.5247
38.4318334,-91.6578333
38.4728,-90.8067
37.7833,-93.75
38.4669445,-90.8080556
38.8114,-91.1414
44.1963889,-90.8672223
38.63722,-90.2825
36.83861,-89.92194
37.21527,-93.29805
37.09138,-90.05944
37.144444,-94.469167
39.54888,-92.48583
36.86888,-94.36777
36.60194,-91.86444
40.56361,-95.63027
38.99611,-90.9075
36.57111,-89.47638
38.6,-90.25
38.50361,-90.67583
37.14638,-94.46277
37.93638,-90.78777
36.54805,-93.75416
37.17333,-91.78944
36.9519,-92.6603
37.61138,-92.09388
39.91861,-93.21944
38.55416,-91.87388
37.5405555,-94.1616667
38.3653319,-90.3628966
38.19166,-91.10416
37.23472,-94.39055
37.20173,-90.20208
36.275,-81.8375
27.80028,-97.39611
44.1963889,-90.8669444
44.1963889,-90.8669444
30.677,-90.473
33.82266667,-89.43316667
35.165628,-79.40736
31.5028767,-88.8893569
36.151957,-81.963027
33.47369,-90.90251
33.73865,-89.71792
31.69522,-89.09758
32.2398,-89.3276
33.73865,-89.71792
33.168,-90.17
34.23972,-88.8097
34.619,-90.215
32.10131,-89.0393
32.2441,-88.8642
34.27639,-88.7439
34.27639,-88.7439
31.7485,-88.54766667
34.78527778,-84.62583333
31.765,-88.59111111
33.49357,-88.85998
33.40029,-89.36023
33.39724,-89.36412
41.07626,-87.59174
40.36386,-89.8635
40.83094,-87.73488
40.38193,-89.90072
41.24643,-88.20185
40.82028,-89.59521
37.88569,-88.38677
37.88364,-88.38898
32.267024,-85.950802
41.62951,-89.49785
41.6308,-89.49125
41.69662,-90.17835
36.1705,-78.73022222
33.735363,-86.286324
36.692515,-88.276766
36.676448,-89.1059
33.701102,-89.711628
35.113494,-85.595573
40.36386,-89.8635
34.311882,-93.899559
31.949417,-86.762
34.108889,-154.658889
39.903882,-105.210823
39.320556,-102.151944
37.018094,-102.8422575
37.1130606,-103.0198039
38.541389,-102.496111
38.0827108,-102.9277451
37.0181872,-102.743145
38.3506384,-103.3368985
39.75189,-102.52481
40.5619887,-105.1810996
40.8520901,-102.7651792
39.504155,-102.5007731
38.7220638,-102.6618492
38.664174,-102.4935248
40.1674796,-104.3721842
39.7391489,-104.9847115
39.7391489,-104.9847115
39.7391489,-104.9847115
39.776847,-104.9794711
39.9866668,-105.2825255
39.9824773,-105.2861742
40.0149774,-105.2705492
39.0965245,-104.7404371
38.7810933,-107.9509082
37.5164693,-108.5442071
37.5725023,-108.5567457
37.250214,-108.685674
39.541043,-104.306659
39.9947996,-105.3017352
40.0150671,-105.3203617
39.746404,-102.555422
39.569,-107.642
37.2192,-103.5196
40.976336,-104.511576
